"song_title","register","year","points","peak_rank"
"What's New Pussycat?",5,1965,954,3
"Make The World Go Away",5,1965,953,6
"Eve Of Destruction",5,1965,946,1
"Ticket To Ride",7,1965,933,1
"Game Of Love",7,1965,916,1
"The Duck",6,1965,906,14
"Uptight (Everything's Alright)",9,1965,904,3
"Ain't That Peculiar",7,1965,890,8
"The Jolly Green Giant",5,1965,889,4
"Like A Rolling Stone",7,1965,888,2
"Flowers On The Wall",7,1965,884,4
"You're The One",6,1965,879,4
"I'm Telling You Now",5,1965,878,1
"Ferry Cross The Mersey",6,1965,877,6
"Seventh Son",5,1965,877,7
"Just Once In My Life",6,1965,877,9
"California Girls",8,1965,869,3
"A Well Respected Man",5,1965,867,13
"Treat Her Right",4,1965,866,2
"Go Now!",5,1965,862,10
"Down In The Boondocks",7,1965,859,9
"Baby The Rain Must Fall",5,1965,858,12
"Catch Us If You Can",6,1965,857,4
"Eight Days A Week",7,1965,854,1
"Just A Little",6,1965,851,8
"You Turn Me On (Turn On Song)",7,1965,850,8
"I'll Be Doggone",7,1965,849,8
"Do You Believe In Magic",6,1965,847,9
"You Didn't Have To Be So Nice",5,1965,847,10
"Save Your Heart For Me",5,1965,845,2
"Tired Of Waiting For You",7,1965,843,6
"Count Me In",5,1965,842,2
"Everybody Loves A Clown",6,1965,840,4
"Spanish Eyes",6,1965,828,15
"It's Not Unusual",8,1965,828,10
"She's About A Mover",6,1965,824,13
"Fever",6,1965,824,7
"Liar, Liar",6,1965,823,12
"Wonderful World",7,1965,822,4
"Shake",6,1965,821,7
"Laurie (Strange Things Happen)",5,1965,807,14
"Tell Her No",6,1965,792,6
"I Go To Pieces",6,1965,791,9
"England Swings",5,1965,791,8
"Day Tripper",8,1965,769,5
"I Like It Like That",7,1965,765,7
"Lies",7,1965,762,20
"Little Things",5,1965,761,13
"Jenny Take A Ride!",6,1965,761,10
"Ebb Tide",7,1965,756,5
"Just A Little Bit Better",5,1965,750,7
"True Love Ways",6,1965,749,14
"We Gotta Get Out Of This Place",6,1965,746,13
"It's The Same Old Song",6,1965,745,5
"You've Got Your Troubles",6,1965,742,7
"Laugh, Laugh",7,1965,735,15
"The Last Time",6,1965,731,9
"I'm Yours",5,1965,727,11
"A Must To Avoid",5,1965,723,8
"Don't Think Twice",10,1965,722,12
"It's My Life",6,1965,721,23
"I Want Candy",5,1965,717,11
"Laugh At Me",7,1965,716,10
"Everyone's Gone To The Moon",5,1965,706,17
"I Knew You When",7,1965,705,14
"The Race Is On",5,1965,699,15
"Take Me Back",7,1965,697,16
"I'm A Fool",6,1965,693,17
"The Boy From New York City",5,1965,692,8
"Last Chance To Turn Around",5,1965,686,13
"One Kiss For Old Times' Sake",6,1965,680,14
"Positively 4th Street",6,1965,678,7
"Some Enchanted Evening",4,1965,678,13
"Hurt So Bad",7,1965,678,10
"Land Of 1000 Dances",6,1965,674,30
"Since I Lost My Baby",8,1965,673,17
"I Want To (Do Everything For You)",8,1965,663,23
"One Has My Name (The Other Has My Heart)",6,1965,661,13
"Mohair Sam",7,1965,661,21
"As Tears Go By",6,1965,656,6
"Engine Engine #9",4,1965,652,7
"Nothing Can Stop Me",5,1965,649,18
"A Little Bit Of Heaven",7,1965,647,16
"Shakin' All Over",7,1965,643,22
"In The Midnight Hour",8,1965,638,21
"I've Been Loving You Too Long (To Stop Now)",8,1965,632,21
"The ""In"" Crowd",6,1965,620,13
"Marie",6,1965,609,15
"Action",5,1965,604,13
"It's Growing",5,1965,599,18
"Sandy",6,1965,598,27
"Don't Let Me Be Misunderstood",7,1965,594,15
"Bye, Bye, Baby (Baby, Goodbye)",8,1965,588,12
"Oo Wee Baby, I Love You",7,1965,585,23
"My Girl Has Gone",9,1965,579,14
"Catch The Wind",4,1965,575,23
"Come Home",7,1965,575,14
"(Such An) Easy Question",5,1965,572,11
"Make It Easy On Yourself",4,1965,572,16
"Heart Of Stone",7,1965,571,19
"Theme From ""A Summer Place""",8,1965,569,16
"If I Loved You",4,1965,565,23
"Send Me The Pillow You Dream On",4,1965,565,22
"Houston",5,1965,564,21
"Thunderball",6,1965,562,25
"Do You Wanna Dance?",7,1965,557,12
"I'll Make All Your Dreams Come True",6,1965,552,21
"Got To Get You Off My Mind",5,1965,547,22
"Look Through Any Window",7,1965,545,32
"Sunday And Me",6,1965,543,18
"Tonight's The Night",5,1965,536,28
"Reelin' And Rockin'",8,1965,532,23
"My Baby",6,1965,532,13
"Do The Clam",5,1965,525,21
"Red Roses For A Blue Lady",8,1965,525,23
"It's Gonna Be Alright",6,1965,518,23
"I Do Love You",6,1965,513,26
"The Little Girl I Once Knew",8,1965,506,20
"I've Got A Tiger By The Tail",7,1965,501,25
"A Sweet Woman Like You",8,1965,498,29
"People Get Ready",7,1965,497,14
"Ask The Lonely",6,1965,492,24
"Something About You",6,1965,491,19
"Ride Your Pony",6,1965,491,28
"Respect",7,1965,491,35
"Midnight Special",4,1965,486,20
"Bumble Bee",5,1965,470,21
"All I Really Want To Do",5,1965,460,40
"It Was A Very Good Year",6,1965,456,28
"With These Hands",6,1965,456,27
"You Were Made For Me",7,1965,455,21
"Shake And Fingerpop",8,1965,454,29
"Road Runner",8,1965,454,46
"Set Me Free",8,1965,453,23
"Concrete And Clay",5,1965,448,28
"Sitting In The Park",7,1965,444,24
"New York's A Lonely Town",8,1965,442,32
"Looking Through The Eyes Of Love",7,1965,440,28
"Ring Dang Doo",6,1965,440,33
"Here It Comes Again",7,1965,437,27
"Sugar Dumpling",7,1965,421,32
"If I Ruled The World",6,1965,421,34
"A Change Is Gonna Come",7,1965,417,31
"I Understand (Just How You Feel)",4,1965,404,36
"Ju Ju Hand",5,1965,402,26
"The Entertainer",7,1965,402,31
"You've Been Cheatin'",8,1965,401,33
"I Must Be Seeing Things",4,1965,397,31
"Kansas City Star",5,1965,395,31
"What Have They Done To The Rain",5,1965,391,29
"Woman's Got Soul",7,1965,388,29
"I'm A Happy Man",5,1965,388,36
"Princess In Rags",7,1965,380,37
"Mystic Eyes",7,1965,379,33
"Steppin' Out",6,1965,366,46
"I Do",7,1965,364,37
"Girl Come Running",8,1965,363,30
"It's Good News Week",5,1965,360,48
"I Found A Girl",5,1965,360,30
"Subterranean Homesick Blues",5,1965,358,39
"It's Got The Whole World Shakin'",6,1965,350,41
"I'll Always Love You",6,1965,350,35
"(All Of A Sudden) My Heart Sings",8,1965,345,38
"I Live For The Sun",7,1965,345,51
"Bring It On Home To Me",5,1965,339,32
"I Miss You So",8,1965,336,34
"Mr. Pitiful",6,1965,336,41
"Just A Little Bit",8,1965,329,39
"One Dyin' And A Buryin'",4,1965,326,34
"Nobody Knows What's Goin' On (In My Mind But Me)",7,1965,321,49
"Break Away (From That Boy)",9,1965,321,40
"It's Just A Little Bit Too Late",5,1965,321,45
"Do The Boomerang",9,1965,311,36
"Come See",7,1965,308,40
"A Young Girl",4,1965,308,51
"No Pity (In The Naked City)",8,1965,303,59
"If I Didn't Love You",5,1965,300,46
"Act Naturally",6,1965,300,47
"Who's Cheating Who?",7,1965,299,43
"Annie Fanny",5,1965,298,47
"You Better Get It",6,1965,295,46
"(The Bees Are For The Birds) The Birds Are For The Bees",9,1965,295,50
"I Don't Want To Spoil The Party",7,1965,292,39
"At The Club",6,1965,292,43
"Don't Fight It",7,1965,290,53
"Meeting Over Yonder",8,1965,284,48
"First I Look At The Purse",7,1965,283,57
"Universal Soldier",5,1965,279,53
"Candy",8,1965,279,63
"Don't Talk To Strangers",5,1965,276,52
"Broomstick Cowboy",4,1965,271,53
"Hung On You",5,1965,268,47
"Lipstick Traces (On A Cigarette)",7,1965,266,48
"If You've Got A Heart",5,1965,254,60
"Goodbye My Lover Goodbye",6,1965,249,52
"It's Too Late, Baby Too Late",4,1965,242,56
"Try Me",7,1965,235,63
"What's He Doing In My World",5,1965,231,60
"Come Tomorrow",4,1965,226,50
"A Woman Can Change A Man",6,1965,225,56
"You Got What It Takes",8,1965,223,51
"Summer Sounds",5,1965,214,58
"She's Coming Home",5,1965,214,58
"Think Of The Good Times",5,1965,213,57
"Are You A Boy Or Are You A Girl",6,1965,211,55
"Hello Pretty Girl",6,1965,209,54
"Tell Her (You Love Her Every Day)",4,1965,200,57
"Misty",7,1965,195,63
"I Need You",8,1965,179,64
"Colours",5,1965,174,61
"Please Let Me Wonder",5,1965,173,52
"These Hands (Small But Mighty)",7,1965,172,63
"When A Boy Falls In Love",6,1965,169,52
"Rainbow '65 (Part I)",10,1965,167,69
"N-E-R-V-O-U-S!",7,1965,157,59
"The Climb",8,1965,150,65
"Love Is A 5-Letter Word",6,1965,142,66
"Toy Soldier",7,1965,142,64
"C.C. Rider",7,1965,141,76
"(See You At The) ""Go-Go""",7,1965,140,69
"Give All Your Love To Me",6,1965,140,68
"Gloria",8,1965,133,71
"I Wanna Be (Your Everything)",9,1965,121,68
"Roses And Rainbows",8,1965,120,73
"Try To Remember",3,1965,117,73
"Good Times",7,1965,117,64
"One Monkey Don't Stop No Show",6,1965,116,65
"Come On Over To My Place",8,1965,115,60
"Is It Really Over?",3,1965,107,79
"Little Miss Sad",6,1965,106,74
"The Mouse",7,1965,94,76
"Forget Domani",4,1965,91,78
"Did You Ever",5,1965,87,74
"Chim, Chim, Cheree",6,1965,76,81
"Good Lovin'",8,1965,75,81
"Don't Look Back",7,1965,64,83
"I Still Love You",7,1965,60,84
"Hello, Dolly!",5,1965,59,79
"Cupid",6,1965,58,76
"Just One More Day",7,1965,58,85
"Tossing & Turning",8,1965,57,83
"You're Gonna Make Me Cry",7,1965,52,86
"Fly Me To The Moon (In Other Words)",5,1965,50,84
"Blind Man",4,1965,49,86
"My Cherie",6,1965,36,88
"Someone Is Watching",6,1965,35,89
"The Crusher",7,1965,35,88
"Don't Have To Shop Around",5,1965,31,93
"Crying In The Chapel",5,1965,30,88
"The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night)",5,1965,28,91
"Ain't It A Shame",7,1965,28,91
"I'm A Fool To Care",8,1965,27,84
"Before You Go",5,1965,26,83
"The Sins Of A Family",7,1965,21,87
"Danny Boy",10,1965,20,94
"Too Hot To Hold",6,1965,20,93
"Good Times",7,1965,19,92
"Early Morning Rain",4,1965,18,91
"Dear Dad",7,1965,16,95
"I Want You Back Again",6,1965,14,95
"This Is It",3,1965,13,88
"Think",5,1965,11,95
"You've Never Been In Love Like This Before",5,1965,11,95
"I Can't Explain",5,1965,10,93
"You Can't Hurt Me No More",6,1965,9,92
"Tears Keep On Falling",6,1965,9,96
"In The Meantime",7,1965,8,97
"You Can Have Him",6,1965,7,96
"A Little Bit Of Soap",7,1965,6,95
"Don't Let Your Left Hand Know",6,1965,6,95
"How Nice It Is",5,1965,5,97
"The Race Is On",7,1965,5,96
"Find My Way Back Home",7,1965,5,98
"Play With Fire",6,1965,5,96
"Suddenly I'm All Alone",6,1965,5,96
"Teasin' You",7,1965,5,97
"The Drinking Man's Diet",5,1965,3,98
"Diana",4,1965,3,98
"I'm A Believer",6,1966,1373,1
"Winchester Cathedral",4,1966,1314,1
"Devil With A Blue Dress On & Good Golly Miss Molly",8,1966,1299,4
"California Dreamin'",6,1966,1265,4
"Last Train To Clarksville",7,1966,1252,1
"What Becomes Of The Brokenhearted",7,1966,1250,7
"Georgy Girl",7,1966,1191,2
"Reach Out I'll Be There",7,1966,1190,1
"Poor Side Of Town",5,1966,1170,1
"Solitary Man",6,1966,1157,21
"Good Vibrations",10,1966,1155,1
"Cherish",6,1966,1148,1
"Tell It Like It Is",7,1966,1146,2
"Strangers In The Night",6,1966,1135,1
"Kicks",7,1966,1129,4
"But It's Alright",5,1966,1123,22
"The Ballad Of The Green Berets",5,1966,1108,1
"Good Lovin'",8,1966,1103,1
"(You're My) Soul And Inspiration",6,1966,1094,1
"You Can't Hurry Love",7,1966,1091,1
"Sunny",5,1966,1089,2
"See You In September",6,1966,1072,3
"Snoopy Vs. The Red Baron",6,1966,1061,2
"Lil' Red Riding Hood",4,1966,1056,2
"Kind Of A Drag",6,1966,1026,1
"Cool Jerk",6,1966,1019,7
"Sunshine Superman",5,1966,1018,1
"Mellow Yellow",6,1966,1005,2
"Red Rubber Ball",5,1966,1000,2
"(We Ain't Got) Nothin' Yet",5,1966,999,5
"You Keep Me Hangin' On",7,1966,999,1
"Walk Away Renee",6,1966,980,5
"Hanky Panky",7,1966,980,1
"When A Man Loves A Woman",8,1966,979,1
"Lady Godiva",6,1966,976,6
"Daydream",5,1966,973,2
"Time Won't Let Me",7,1966,971,5
"Hooray For Hazel",5,1966,967,6
"Sweet Pea",5,1966,964,8
"Bus Stop",5,1966,963,5
"Summer In The City",5,1966,963,1
"Paint It, Black",6,1966,963,1
98.6,5,1966,952,7
"Ain't Too Proud To Beg",6,1966,937,13
"Dirty Water",4,1966,933,11
"Wild Thing",6,1966,932,1
"Elusive Butterfly",5,1966,929,5
"I Am A Rock",6,1966,928,3
"Good Thing",7,1966,914,4
"Homeward Bound",5,1966,909,5
"Did You Ever Have To Make Up Your Mind?",5,1966,909,2
"Barefootin'",7,1966,905,7
"Sloop John B",9,1966,891,3
"19th Nervous Breakdown",6,1966,890,2
"Psychotic Reaction",7,1966,886,5
"Paperback Writer",7,1966,885,1
"Beauty Is Only Skin Deep",5,1966,884,3
"I Had Too Much To Dream (Last Night)",6,1966,868,11
"Love Makes The World Go Round",5,1966,862,11
"The Pied Piper",5,1966,858,4
"Almost Persuaded",6,1966,848,24
"Gimme Some Lovin'",8,1966,848,7
"Cherry, Cherry",5,1966,836,6
"Working In The Coal Mine",7,1966,835,8
"Barbara Ann",9,1966,832,2
"Gloria",6,1966,826,10
"My World Is Empty Without You",7,1966,825,5
"Guantanamera",5,1966,817,9
"Standing In The Shadows Of Love",6,1966,813,6
"Woman",6,1966,811,14
"Black Is Black",6,1966,806,4
"Nowhere Man",6,1966,806,3
"Dandy",7,1966,802,5
"Green, Green Grass Of Home",6,1966,798,11
"I Fought The Law",5,1966,785,9
"The More I See You",6,1966,785,16
"Yellow Submarine",6,1966,779,2
"A Place In The Sun",8,1966,776,9
"Hungry",7,1966,775,6
"Stand By Me",9,1966,773,12
"634-5789 (Soulsville, U.S.A.)",8,1966,766,13
"Wouldn't It Be Nice",8,1966,765,8
"Talk Talk",4,1966,754,15
"This Old Heart Of Mine (Is Weak For You)",8,1966,752,12
"Hold On! I'm A Comin'",8,1966,747,21
"Along Comes Mary",7,1966,746,7
"Listen People",6,1966,738,3
"(I Know) I'm Losing You",6,1966,737,8
"I've Got You Under My Skin",7,1966,734,9
"Knock On Wood",7,1966,728,28
"Whispers (Gettin' Louder)",9,1966,727,11
"I've Passed This Way Before",6,1966,725,17
"Don't Bring Me Down",4,1966,725,12
"Nashville Cats",6,1966,725,8
"Over Under Sideways Down",4,1966,719,13
"Rain On The Roof",4,1966,716,10
"The Cheater",5,1966,713,12
"Stop Stop Stop",6,1966,713,7
"The Joker Went Wild",5,1966,709,20
"Tell It To The Rain",7,1966,704,10
"Sunny Afternoon",6,1966,702,14
"See See Rider",8,1966,698,10
"Mothers Little Helper",4,1966,697,8
"It's A Man's Man's Man's World",7,1966,690,8
"Sweet Dreams",6,1966,686,15
"Working My Way Back To You",7,1966,664,9
"Green Grass",5,1966,651,8
"Sure Gonna Miss Her",5,1966,640,9
"Summertime",7,1966,633,10
"I Love You 1000 Times",6,1966,632,31
"A Hazy Shade Of Winter",6,1966,625,13
"Leaning On The Lamp Post",6,1966,623,9
"When Liking Turns To Loving",5,1966,618,18
"It Tears Me Up",5,1966,613,20
"(I'm A) Road Runner",8,1966,610,20
"Eight Miles High",5,1966,605,14
"The Sun Ain't Gonna Shine (Anymore)",7,1966,605,13
"Opus 17 (Don't You Worry 'Bout Me)",7,1966,599,13
"I Can Make It With You",4,1966,592,32
"Go Away Little Girl",7,1966,586,12
"Little Latin Lupe Lu",4,1966,583,17
"Open The Door To Your Heart",6,1966,579,27
"Eleanor Rigby",6,1966,576,11
"Mustang Sally",8,1966,574,23
"How Sweet It Is (To Be Loved By You)",9,1966,571,18
"Try A Little Tenderness",7,1966,564,25
"I Got The Feelin' (Oh No No)",5,1966,557,16
"Have You Seen Your Mother, Baby, Standing In The Shadow?",5,1966,556,9
"Cry",5,1966,551,18
"I See The Light",8,1966,550,26
"The Rains Came",6,1966,546,31
"Shake Me, Wake Me (When It's Over)",6,1966,538,18
"Where Will The Words Come From",5,1966,538,21
"This Door Swings Both Ways",5,1966,537,12
"I Really Don't Want To Know",5,1966,528,22
"Walkin' My Cat Named Dog",6,1966,527,22
"Michelle",5,1966,526,18
"Turn-Down Day",4,1966,524,16
"(You Don't Have To) Paint Me A Picture",6,1966,523,15
"Searching For My Love",7,1966,515,27
"Try Too Hard",7,1966,511,12
"(I'm Not Your) Steppin' Stone",5,1966,503,20
"Like A Baby",8,1966,501,27
"(I Washed My Hands In) Muddy Water",7,1966,497,19
"It's Too Late",5,1966,493,23
"The Hair On My Chinny Chin Chin",5,1966,491,22
"Hello Hello",4,1966,491,26
"Let's Start All Over Again",6,1966,489,20
"Pushin' Too Hard",4,1966,487,36
"The Great Airplane Strike",5,1966,486,20
"My Heart's Symphony",5,1966,481,13
"East West",5,1966,480,27
"Mama",5,1966,479,22
"The Ballad Of Irving",5,1966,477,34
"Frankie And Johnny",5,1966,476,25
"Let's Go Get Stoned",7,1966,476,31
"Love Letters",5,1966,470,19
"Holy Cow",6,1966,470,23
"At The Scene",7,1966,470,18
"Where Were You When I Needed You",5,1966,468,28
"Are You Lonely For Me",7,1966,467,39
"Rhapsody In The Rain",10,1966,467,16
"Somewhere",7,1966,465,26
"Pretty Flamingo",6,1966,463,29
"7 And 7 Is",7,1966,461,33
"Blue Autumn",4,1966,460,35
"I Hear Trumpets Blow",6,1966,459,30
"Secret Love",7,1966,455,29
"Help Me Girl",7,1966,452,29
"Happenings Ten Years Time Ago",4,1966,447,30
"How Do You Catch A Girl",5,1966,444,27
"Happy Summer Days",5,1966,443,27
"Somewhere There's A Someone",5,1966,436,32
"You Better Run",8,1966,436,20
"Nothing's Too Good For My Baby",9,1966,429,20
"With A Girl Like You",7,1966,428,29
"The Impossible Dream (The Quest)",5,1966,427,35
"Fa-Fa-Fa-Fa-Fa (Sad Song)",6,1966,426,29
"Distant Shores",4,1966,423,30
"Satisfaction",6,1966,421,31
"I Can't Grow Peaches On A Cherry Tree",4,1966,420,34
"One More Heartache",8,1966,419,29
"Summer Wind",6,1966,417,25
"I Want You",6,1966,416,20
"Husbands And Wives",4,1966,411,26
"Tiny Bubbles",4,1966,409,57
"The ""A"" Team",4,1966,407,28
"Please Tell Me Why",7,1966,404,28
"God Only Knows",7,1966,401,39
"Louie, Louie",5,1966,393,30
"I Fooled You This Time",8,1966,377,45
"Tippy Toeing",5,1966,377,44
"Pandora's Golden Heebie Jeebies",6,1966,376,35
"I (Who Have Nothing)",7,1966,374,46
"Crying",4,1966,372,25
"The Dangling Conversation",6,1966,372,25
"Grizzly Bear",8,1966,368,52
"I Chose To Sing The Blues",6,1966,364,32
"Get Out Of My Life, Woman",7,1966,361,44
"Get Ready",8,1966,360,29
"Caroline, No",5,1966,356,32
"Ain't That A Groove (Part 1)",9,1966,347,42
"This Can't Be True",10,1966,345,57
"Band Of Gold",7,1966,345,32
"Sugar And Spice",6,1966,342,49
"Lady Jane",5,1966,337,24
"The Tip Of My Fingers",5,1966,334,43
"The Last Word In Lonesome Is Me",4,1966,332,40
"Take This Heart Of Mine",7,1966,332,44
"My Little Red Book",5,1966,329,52
"I'm Gonna Miss You",8,1966,328,55
"Love's Made A Fool Of You",5,1966,325,26
"Just Like A Woman",5,1966,323,33
"Mr. Spaceman",5,1966,320,36
"Go Ahead And Cry",4,1966,319,30
"Inside-Looking Out",4,1966,318,34
"Please Mr. Sun",7,1966,318,48
"A Symphony For Susan",4,1966,317,51
"Come On Up",8,1966,315,43
"Ninety-Nine And A Half (Won't Do)",8,1966,313,53
"Whole Lot Of Shakin' In My Heart (Since I Met You)",8,1966,312,46
"Love Is All We Need",7,1966,310,50
"Papa Was Too",8,1966,308,44
"Oh Yeah",5,1966,308,39
"S.Y.S.L.J.F.M. (The Letter Song)",8,1966,307,39
"Sometimes Good Guys Don't Wear White",5,1966,303,43
"Loving You Is Sweeter Than Ever",7,1966,301,45
"One Track Mind",5,1966,300,46
"Dedicated Follower Of Fashion",7,1966,299,36
"Till The End Of The Day",6,1966,297,50
"Blue Side Of Lonesome",2,1966,284,59
"You You You",6,1966,278,49
"The Eggplant That Ate Chicago",5,1966,277,52
"Little Darling, I Need You",8,1966,276,47
"I Can't Control Myself",4,1966,261,43
"The Love You Save (May Be Your Own)",7,1966,260,56
"You Can't Roller Skate In A Buffalo Herd",4,1966,254,40
"Distant Drums",2,1966,253,45
"Nineteen Days",5,1966,243,48
"A Day In The Life Of A Fool",5,1966,239,62
"The One On The Right Is On The Left",5,1966,239,46
"Don't Be A Drop-Out",9,1966,235,50
"5 D (Fifth Dimension)",5,1966,220,44
"Why Pick On Me",5,1966,218,54
"Bang Bang",4,1966,217,63
"I Guess I'll Always Love You",8,1966,210,61
"Hurt",8,1966,206,51
"Rumors",8,1966,206,55
"Can't Satisfy",8,1966,206,65
"Waitin' In Your Welfare Line",7,1966,197,57
"Somebody Like Me",5,1966,197,53
"My Lover's Prayer",7,1966,187,61
"Changes",7,1966,181,57
"My Uncle Used To Love Me But She Died",5,1966,177,58
"Break Out",8,1966,174,62
"Just One Smile",7,1966,171,64
"Teenager's Prayer",7,1966,167,66
"Ain't Nobody Home",9,1966,165,63
"Snow Flake",4,1966,162,66
"Remember The Rain",4,1966,159,64
"Why Can't You Bring Me Home",6,1966,158,63
"It Won't Be Wrong",8,1966,155,63
"Look At Granny Run, Run",9,1966,146,67
"Georgia On My Mind",6,1966,143,62
"My Ship Is Comin' In",5,1966,143,63
"Alvin's Boo-Ga-Loo",7,1966,141,74
"I Believe I'm Gonna Make It",8,1966,138,67
"There's Something On Your Mind",6,1966,137,69
"I've Got To Do A Little Bit Better",8,1966,135,64
"Don't Worry Mother, Your Son's Heart Is Pure",7,1966,133,67
"Take Some Time Out For Love",9,1966,128,66
"You've Got My Mind Messed Up",6,1966,125,63
"I Want Someone",5,1966,117,74
"Truly Julie's Blues (I'll Be There)",4,1966,111,65
"Livin' Above Your Head",6,1966,110,76
"My Generation",6,1966,104,74
"Good Time Charlie",6,1966,102,75
"Love Takes A Long Time Growing",6,1966,100,77
"She Drives Me Out Of My Mind",6,1966,98,71
"I Don't Need No Doctor",7,1966,97,72
"Bring Back The Time",7,1966,91,75
"Stop! - Get A Ticket",6,1966,91,80
"Keep On Running",7,1966,90,76
"Poverty",4,1966,86,65
"Something I Want To Tell You",7,1966,83,79
"Take Good Care Of Her",8,1966,81,78
"(We'll Be) United",8,1966,75,78
"Think Of Me",6,1966,73,74
"Killer Joe",6,1966,73,77
"Tomorrow Never Comes",5,1966,71,80
"Set You Free This Time",4,1966,62,79
"Painter",10,1966,59,81
"I Confess",6,1966,59,80
"I Wanna Meet You",6,1966,57,85
"Red Hot",6,1966,56,82
"This Golden Ring",7,1966,55,82
"A Corner In The Sun",6,1966,55,83
"I Dig Girls",7,1966,48,83
"Pouring Water On A Drowning Man",7,1966,48,85
"Tired Of Being Lonely",6,1966,45,79
"I'll Go Crazy",8,1966,44,73
"I Put A Spell On You",5,1966,43,80
"It's An Uphill Climb To The Bottom",6,1966,42,88
"(He's) Raining In My Sunshine",5,1966,37,90
"What Goes On",5,1966,32,81
"La La La",5,1966,30,90
"I'm Gonna Make You Love Me",8,1966,28,88
"The Pain Gets A Little Deeper",9,1966,26,89
"Goodnight My Love",7,1966,22,91
"Respect",7,1966,21,92
"(I'm Just A) Fool For You",7,1966,20,88
"Freddie Feelgood (And His Funky Little Five Piece Band)",5,1966,19,91
"High On Love",6,1966,19,94
"One Too Many Mornings",5,1966,17,95
"Going Nowhere",7,1966,15,91
"Get Back",4,1966,15,88
"Bad Little Woman",5,1966,15,91
"You Waited Too Long",7,1966,14,94
"You're Just About To Lose Your Clown",7,1966,12,91
"I'm Gonna Make You Mine",7,1966,11,90
"No Man Is An Island",8,1966,11,94
"Who Do You Think You Are",7,1966,10,91
"My Answer",7,1966,9,92
"Roller Coaster",7,1966,9,92
"Only When You're Lonely",7,1966,8,96
"It's-A-Happening",5,1966,8,93
"I Feel A Sin Coming On",7,1966,7,97
"Baby I Need You",9,1966,7,96
"Because I Love You",6,1966,6,96
"Baby Come On Home",7,1966,6,96
"Peak Of Love",8,1966,5,97
"Try My Love Again",6,1966,5,97
"Every Day And Every Night",8,1966,5,96
"I Spy (For The FBI)",7,1966,4,98
"I Struck It Rich",8,1966,4,98
"Let's Go Steady Again",8,1966,4,97
"Function At The Junction",6,1966,4,97
"For Your Precious Love",7,1966,3,99
"Mine Exclusively",7,1966,3,99
"Love Attack",7,1966,2,99
"We Got The Winning Hand",5,1966,1,100
"Takin' All I Can Get",6,1966,1,100
"Greetings (This Is Uncle Sam)",7,1966,1,100
"Light My Fire",7,1967,1442,1
"Get Together",7,1967,1416,5
"Woman, Woman",7,1967,1379,4
"The Letter",6,1967,1294,1
"I Think We're Alone Now",7,1967,1277,4
"Little Bit O' Soul",7,1967,1261,2
"The Rain, The Park & Other Things",6,1967,1251,2
"Windy",7,1967,1242,1
"Boogaloo Down Broadway",7,1967,1227,7
"I Was Made To Love Her",9,1967,1217,2
"Daydream Believer",6,1967,1191,1
"I Second That Emotion",8,1967,1185,4
"Spooky",7,1967,1172,3
"Sweet Soul Music",7,1967,1171,2
"Bend Me, Shape Me",6,1967,1161,5
"Expressway (To Your Heart)",8,1967,1144,4
"Never My Love",6,1967,1133,2
"Apples, Peaches, Pumpkin Pie",5,1967,1128,6
"Come On Down To My Boat",5,1967,1107,6
"Green Tambourine",6,1967,1107,1
"Groovin'",6,1967,1105,1
"For What It's Worth (Stop, Hey What's That Sound)",4,1967,1049,7
"You Keep Me Hangin' On",7,1967,1046,6
"Gimme Little Sign",7,1967,1045,9
"Chain Of Fools",9,1967,1024,2
"Skinny Legs And All",6,1967,1016,10
"Release Me (And Let Me Love Again)",5,1967,1010,4
"Nobody But Me",5,1967,1009,8
"Hello Goodbye",7,1967,997,1
"Get On Up",8,1967,987,11
"Brown Eyed Girl",6,1967,985,10
"Ruby Tuesday",6,1967,982,1
"I Got Rhythm",8,1967,979,3
"A Whiter Shade Of Pale",6,1967,977,5
"I Wonder What She's Doing Tonite",5,1967,957,8
"Don't You Care",6,1967,953,6
"Then You Can Tell Me Goodbye",5,1967,949,6
"On A Carousel",7,1967,946,11
"Bottle Of Wine",5,1967,944,9
"Silence Is Golden",5,1967,938,11
"My Cup Runneth Over",3,1967,936,8
"Carrie-Anne",5,1967,930,9
"I've Been Lonely Too Long",7,1967,917,16
"All You Need Is Love",8,1967,915,1
"(Your Love Keeps Lifting Me) Higher And Higher",9,1967,912,6
"Mercy, Mercy, Mercy",7,1967,911,5
"You're My Everything",8,1967,906,6
"There's A Kind Of Hush",6,1967,904,4
"Susan",7,1967,901,11
"Baby I Love You",7,1967,883,4
"A Little Bit Me, A Little Bit You",7,1967,878,2
"How Can I Be Sure",8,1967,861,4
"Baby I Need Your Lovin'",5,1967,857,3
"Friday On My Mind",4,1967,850,16
"Sock It To Me-Baby!",8,1967,839,6
"Let's Live For Today",7,1967,837,8
"I Can See For Miles",7,1967,831,9
"Pleasant Valley Sunday",8,1967,830,3
"Funky Broadway",8,1967,830,8
"Penny Lane",5,1967,813,1
"Keep The Ball Rollin'",6,1967,811,14
"The Beat Goes On",4,1967,806,6
"Bernadette",7,1967,800,4
"Here Comes My Baby",5,1967,797,13
"Girl, You'll Be A Woman Soon",6,1967,790,10
"I Dig Rock And Roll Music",5,1967,777,9
"Everlasting Love",6,1967,776,13
